SECTION NAME,ID,RULE TEXT,POSITIVE,NEGATIVE,COMMENTARY
AADL Specifications,p41n1,(N1)  An AADL specification has one global namespace. The package and property set identifiers reside in this space and must be unique.,0,0,Checked by DFS during processing package nodes
AADL Specifications,p41n2,(N2)  These package and property set identifiers qualify the names of individual elements contained in them when they are referenced.,0,0,0
AADL Specifications,p41n3,"(N3)  Package declarations represent labeled namespaces for component type, component implementation, feature group type, and annex library declarations.",0,0,0
AADL Specifications,p41n4,(N4)  Property set declarations represent labeled namespaces for property type and property definition declarations.,0,0,0
AADL Specifications,p41n5,(N5)  Packages and property sets may be separately stored. Those packages and property sets are considered to be part of the global namespace.,0,0,Provided by parser
AADL Specifications,p41n6,(N6)  Defining identifiers in AADL must not be one of the reserved words of the language (see Section 15.7).,0,0,Provided by parser
AADL Specifications,p41n7,(N7)  The AADL identifiers and reserved words can be in upper or lower case (or a mixture of the two) (see Section 15).,0,0,Should be mentioned when working with identifiers
AADL Specifications,p41n8,(N8)  The AADL does not require that an identifier be declared before it is referenced.,0,0,0
Packages,p42n1,(N1)  A defining package name consists of a sequence of one or more package identifiers separated by a double colon (вЂњ::вЂќ). A defining package name must be unique in the global namespace.,0,0,Checked by counting private and public package declarations in DFS during processing package nodes
Packages,p42n2,(N2)  The public and private section of a package may be declared in separate package declarations; these two declarations introduce a single defining package name.,0,0,Provided by parser
Packages,p42n3,"(N3)  Associated with every package is a package namespace that contains the names for all the elements defined within that package. This means that component types, feature group types, and defining entities declared in an annex library using an annex-specific sublanguage can be declared with the same name in different packages.",0,0,0
Packages,p42n4,(N4)  The package namespace is divided into a public section and a private section. Items declared in the public section of the package namespace can be referenced from outside the package as well as within the package.,0,0,0
Packages,p42n5,"(N5)  The reference to an item declared in another package must be an item name qualified with a package name separated by a double colon (вЂњ::вЂќ). The package name must be listed in the import_declaration (with) of the package with the reference, i.e., in the import_declaration of the public section, if the reference is in the public section, and in the import_declaration of the public or private section if the reference is in the private section of the package. Only classifiers in the public package section can be referenced.",0,0,0
